,card_name,card_url,card_img,card_summary
36,Club Leaders 8 카드,16759,https://www.hanacard.co.kr/ATTACH/NEW_HOMEPAGE/images/cardinfo/card_img/14466.png," 1. 이용금액 1,500원당 1마일리지  대한항공 마일리지 적립 2. Travel & Family 바우처Golf & Culture 바우처 바우처 서비스 2종 제공 3. 전세계 제휴 공항라운지  The Lounge 무료"
37,Club Leaders 10 카드,16909,https://www.hanacard.co.kr/ATTACH/NEW_HOMEPAGE/images/cardinfo/card_img/14484.png," 1. 이용금액 1,500원당 1마일리지  대한항공 마일리지 적립 2. Travel & Family 바우처Golf & Culture 바우처 바우처 서비스 제공 3. 전세계 제휴 공항라운지  The Lounge 무료"
38,Club Leaders 15 카드,16911,https://www.hanacard.co.kr/ATTACH/NEW_HOMEPAGE/images/cardinfo/card_img/14485.png," 1. 이용금액 1,500원당 1마일리지   대한항공 마일리지 적립 2. Travel & Family 바우처Golf & Culture 바우처Premium Shopping 바우처 바우처 서비스 제공 3. 전세계 제휴 공항라운지   The Lounge 무료"
39,하나 CLUB H 아메리칸 익스프레스 리저브 카드,15124,https://www.hanacard.co.kr/ATTACH/NEW_HOMEPAGE/images/cardinfo/card_img/13898.png," 1. 국내 1,000원당 1마일리지 적립 2. 해외 1,000원당 2마일리지 적립 3. 인천공항라운지 동반자와 함께 입장 무료"
40,CLUB Primus Skypass 카드,9727,https://www.hanacard.co.kr/ATTACH/NEW_HOMEPAGE/images/cardinfo/card_img/12121.png, 1. 항공권/주유권/면세점 교환권/PP카드 Free Package 서비스 택 1 쿠폰제공 2. 업종별 적립 1~5마일리지 적립 3. 택시/호텔 식음매장 10% 할인
41,CLUB Signature SKYPASS 카드,9892,https://www.hanacard.co.kr/ATTACH/NEW_HOMEPAGE/images/cardinfo/card_img/11925.png, 1. 호텔외식이용권 또는 신라면세점이용권 Special Service 제공 2. 월 2회/연 6회 LoungeKey 제공 3. 대한항공 1~2 마일리지 적립
42,CLUB Premier Hotel 카드,8874,https://www.hanacard.co.kr/ATTACH/NEW_HOMEPAGE/images/cardinfo/card_img/11765.png," 1. 국내특급호텔 50% 할인 2. LoungeKey 월2회, 연6회 제공 3. 하나머니 1~1.5% 적립"
43,CLUB Primus Asiana Club 카드,9728,https://www.hanacard.co.kr/ATTACH/NEW_HOMEPAGE/images/cardinfo/card_img/12122.png, 1. 항공권/주유권/면세점 교환권/PP카드 Free Package 서비스 택 1 쿠폰제공 2. 업종별 적립 1~5마일리지 적립 3. 택시/호텔 식음매장 10% 할인
44,CLUB Signature Asiana Club 카드,9893,https://www.hanacard.co.kr/ATTACH/NEW_HOMEPAGE/images/cardinfo/card_img/11926.png, 1. 호텔외식이용권 또는 신라면세점이용권 Special Service 제공 2. 월 2회/연 6회 LoungeKey 제공 3. 아시아나 1~2 마일리지 적립
45,CLUB Premier Travel 카드,8876,https://www.hanacard.co.kr/ATTACH/NEW_HOMEPAGE/images/cardinfo/card_img/11766.png," 1. 국내LCC(저가항공) 50% 할인 2. LoungeKey 월2회, 연6회 제공 3. 하나머니 1~1.5% 적립"
46,CLUB Primus Point 카드,9729,https://www.hanacard.co.kr/ATTACH/NEW_HOMEPAGE/images/cardinfo/card_img/12123.png, 1. 항공권/주유권/면세점 교환권/PP카드 Free Package 서비스 택 1 쿠폰제공 2. 업종별 적립 1~5% 포인트 적립 3. 택시/호텔 식음매장 10% 할인
47,CLUB1카드 200,759,https://www.hanacard.co.kr/ATTACH/NEW_HOMEPAGE/images/cardinfo/card_img/02767.png, 1. VVIP 프리미엄 서비스 제공
48,하나 골드클럽멤버스Ⅱ 카드,17111,https://www.hanacard.co.kr/ATTACH/NEW_HOMEPAGE/images/cardinfo/card_img/14533.png," 1. 결제 금액 구간별1,500원당 최대 3마일리지 대한항공 마일리지 적립 2. 3종 中 택 1 프리미엄 바우처 제공 3. 전 세계 공항라운지 이용 THE LOUNGE 무료"
49,하나멤버스 1Q(원큐) 카드 Business,5229,https://www.hanacard.co.kr/ATTACH/NEW_HOMEPAGE/images/cardinfo/card_img/10694.png, 1. 마트 10만원당5천머니 적립 2. 주유 10만원당5천머니 적립 3. 보험/케이블/전기 10만원당5천머니 적립
50,하나멤버스 1Q 카드 Special Auto,11746,https://www.hanacard.co.kr/ATTACH/NEW_HOMEPAGE/images/cardinfo/card_img/12739.png, 1. 지역쇼핑 10만원당 5천머니 적립 2. 주유 10만원당 5천머니 적립 3. 온라인쇼핑 10만원당 5천머니 적립
51,하나 햇살론 카드,14246,https://www.hanacard.co.kr/ATTACH/NEW_HOMEPAGE/images/cardinfo/card_img/13503.png, 1. 국내 전가맹점 0.7% 적립 2. 페이결제 1.0% 적립
